Actor/Actress,Character,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Actor/Actress,Character,1,2,3,4,5,6,7,8
Sean Bean[a],Eddard Stark,Main,,,,,Recurring,Guest,
Mark Addy,Robert Baratheon,Main,,,,,,,
Nikolaj Coster-Waldau,Jaime Lannister,Main,Main,Main,Main,Main,Main,Main,Main
Michelle Fairley,Catelyn Stark,Main,Main,Main,,,,,
Lena Headey[b],Cersei Lannister,Main,Main,Main,Main,Main,Main,Main,Main
Emilia Clarke,Daenerys Targaryen,Main,Main,Main,Main,Main,Main,Main,Main
Iain Glen,Jorah Mormont,Main,Main,Main,Main,Main,Main,Main,Main
Harry Lloyd,Viserys Targaryen,Main,,,,,,,
Kit Harington,Jon Snow,Main,Main,Main,Main,Main,Main,Main,Main
Sophie Turner,Sansa Stark,Main,Main,Main,Main,Main,Main,Main,Main
Maisie Williams,Arya Stark,Main,Main,Main,Main,Main,Main,Main,Main
Richard Madden,Robb Stark,Main,Main,Main,,,,,
Alfie Allen,Theon Greyjoy,Main,Main,Main,Main,Main,Main,Main,Main
Isaac Hempstead Wright,Bran Stark,Main,Main,Main,Main,,Main,Main,Main
Jack Gleeson,Joffrey Baratheon,Main,Main,Main,Main,,,,
Rory McCann,Sandor Clegane,Main,Main,Main,Main,,Main,Main,Main
Peter Dinklage,Tyrion Lannister,Main,Main,Main,Main,Main,Main,Main,Main
Jason Momoa,Khal Drogo,Also Starring,Also Starring,,,,,,
Aidan Gillen,Petyr Baelish,Main,Main,Main,Main,Main,Main,Main,
Liam Cunningham,Davos Seaworth,,Main,Main,Main,Main,Main,Main,Main
John Bradley,Samwell Tarly,Recurring,Main,Main,Main,Main,Main,Main,Main
Stephen Dillane,Stannis Baratheon,,Main,Main,Main,Main,,,
Carice van Houten,Melisandre,,Main,Main,Main,Main,Main,Main,Main
James Cosmo,Jeor Mormont,Recurring,Main,Main,,,,,
Jerome Flynn,Bronn,Recurring,Main,Main,Main,Main,Main,Main,Main
Conleth Hill,Varys,Recurring,Main,Main,Main,Main,Main,Main,Main
Sibel Kekilli,Shae,Recurring,Main,Main,Main,,,,
Natalie Dormer,Margaery Tyrell,,Main,Main,Main,Main,Main,,
Charles Dance,Tywin Lannister,Recurring,Main,Main,Main,Main,,,
Oona Chaplin,Talisa Maegyr,,Recurring,Main,,,,,
Rose Leslie,Ygritte,,Recurring,Main,Main,,,,
Joe Dempsie,Gendry,Recurring,Recurring,Main,,,,Main,Main
Kristofer Hivju,Tormund Giantsbane,,,Recurring,Main,Main,Main,Main,Main
Gwendoline Christie,Brienne of Tarth,,Recurring,Recurring,Main,Main,Main,Main,Main
Iwan Rheon,Ramsay Bolton,,,Recurring,Main,Main,Main,,
Hannah Murray,Gilly,,Recurring,Recurring,Main,Main,Main,Main,Main
Michiel Huisman[c],Daario Naharis,,,Recurring,Recurring,Main,Main,,
Nathalie Emmanuel,Missandei,,,Recurring,Recurring,Main,Main,Main,Main
Indira Varma,Ellaria Sand,,,,Recurring,Main,Main,Main,
Dean-Charles Chapman[d],Tommen Baratheon,Recurring,Recurring,,Recurring,Main,Main,,
Tom Wlaschiha[e],Jaqen H'ghar,Guest,Recurring,,,Main,Main,,
Michael McElhatton,Roose Bolton,,Recurring,Recurring,Recurring,Main,Main,,
Jonathan Pryce,The High Sparrow,,,,,Recurring,Main,,
Jacob Anderson,Grey Worm,,,Recurring,Recurring,Recurring,Recurring,Recurring,Main
