Actor/Actress,Character,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Kae Alexander[l],Leaf,,,,Guest,,Recurring,,
Vladimir Furdik[m],Night King,,,,Guest,Guest,Guest,Recurring,Guest
Faye Marsay,The Waif,,,,,Recurring,Recurring,,
Michael Condron,Bowen Marsh,,,,,Recurring,Recurring,,
Hannah Waddingham,Septa Unella,,,,,Recurring,Recurring,,
Rosabell Laurenti Sellers,Tyene Sand,,,,,Recurring,Guest,Guest,
Jessica Henwick,Nymeria Sand,,,,,Recurring,Guest,Guest,
Keisha Castle-Hughes,Obara Sand,,,,,Recurring,Guest,Guest,
DeObia Oparei,Areo Hotah,,,,,Recurring,Guest,,
Alexander Siddig,Doran Martell,,,,,Recurring,Guest,,
Toby Sebastian,Trystane Martell,,,,,Recurring,Guest,,
Ian Whyte,Wun Weg Wun Dar Wun,,,,,Guest,Recurring,,
Richard Rycroft,Maester Wolkan,,,,,,Recurring,Recurring,Recurring
Staz Nair,Qhono,,,,,,Recurring,Recurring,Recurring
Bella Ramsey,Lyanna Mormont,,,,,,Recurring,Guest,Recurring
Paul Rattray,Harald Karstark,,,,,,Recurring,,
Richard E. Grant,Izembaro,,,,,,Recurring,,
Joe Naufahu,Khal Moro,,,,,,Recurring,,
Essie Davis,Lady Crane,,,,,,Recurring,,
Leigh Gill,Bobono,,,,,,Recurring,,
Rob Callender,Clarenzo,,,,,,Recurring,,
Pilou Asbæk,Euron Greyjoy,,,,,,Guest,Recurring,Recurring
Tim McInnerny,Robett Glover,,,,,,Guest,Recurring,
James Faulkner,Randyll Tarly,,,,,,Guest,Recurring,
Tom Hopper[n],Dickon Tarly,,,,,,Guest,Recurring,
Jim Broadbent,Archmaester Ebrose,,,,,,,Recurring,
Brendan Cowell,Harrag,,,,,,,Recurring,
Megan Parkinson,Alys Karstark,,,,,,,Guest,Recurring
